Model,Regime,Count,MSE,MAE,RMSE,STD_ERROR
LSTM,heavy,3938,0.00492083840072155,0.038474325090646744,0.07014868780470201,0.06827125698328018
LSTM,stable,4260,0.005808111280202866,0.04034094139933586,0.0762109656165231,0.07452259212732315
GRU,heavy,3938,0.004370764829218388,0.039007216691970825,0.06611176014309698,0.0656268298625946
GRU,stable,4260,0.005073981825262308,0.0398346371948719,0.07123188769969745,0.07058526575565338
CNN,heavy,3938,0.004446869716048241,0.037878792732954025,0.06668485372292753,0.0661872997879982
CNN,stable,4260,0.005302100442349911,0.04237361624836922,0.0728155233610932,0.07270541787147522
PINN,heavy,3938,0.004700766410678625,0.038950905203819275,0.06856213540051553,0.06758968532085419
PINN,stable,4260,0.005526157096028328,0.0404125452041626,0.07433812679929679,0.07327613234519958
PINN-LWR,heavy,3938,0.008190209046006203,0.06044800579547882,0.09049977373455804,0.06744294613599777
PINN-LWR,stable,4260,0.007630472537130117,0.04835803806781769,0.08735257601885658,0.07386454194784164
